SalesOrderNumber,OrderDate,ProductKey,CustomerKey,SalesTerritoryKey,OrderQuantity,UnitPrice,ProductCost,SalesAmount,TaxAmt,Freight
SO43701,01/07/2016,346,11003,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43700,01/07/2016,336,14501,4,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43697,01/07/2016,310,21768,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43699,01/07/2016,346,25863,1,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43698,01/07/2016,346,28389,7,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43704,02/07/2016,351,11005,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43705,02/07/2016,344,11011,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43703,02/07/2016,310,16624,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43702,02/07/2016,311,27645,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43709,03/07/2016,313,16351,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43710,03/07/2016,314,16517,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43708,03/07/2016,330,20042,10,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43707,03/07/2016,312,27616,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43706,03/07/2016,312,27621,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43712,04/07/2016,311,13513,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43711,04/07/2016,314,27606,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43714,05/07/2016,311,13591,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43715,05/07/2016,314,16483,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43716,05/07/2016,311,16529,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43717,05/07/2016,336,25249,9,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43713,05/07/2016,310,27601,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43720,06/07/2016,311,13264,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43721,06/07/2016,310,13590,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43719,06/07/2016,312,27612,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43718,06/07/2016,311,27668,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43722,07/07/2016,312,13581,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43723,07/07/2016,332,14520,1,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43724,07/07/2016,311,16520,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43725,08/07/2016,311,13258,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
